Adopted parameters
==================
Number of particles:  500
The reduced density:  0.9
Corresponding box length:  8.220706914434901
The reduced temperature:  0.9
The number of Monte Carlo steps:  1000000
The initial maximum of the displacement:,  0.1
The output frequency of energy as the STDOUT:  1000
The output frequency of the trajectory data:  1000
Adopted energy model: UnitlessLJ

Results
=======
total pair initial: 2799653728137.7627
tail correction: -139.56249638261005
1000 5019877412.717903
2000 2993706480.978131
3000 2623242827.47131
4000 276450559.35101
5000 1087649.93682253
6000 611558.1657261094
7000 501118.7700208341
8000 95551.40317465516
9000 33318.20736403209
10000 19164.953910761702
11000 12867.700554642226
12000 6025.806051234963
13000 5143.803312331101
14000 4268.158833296594
15000 2154.3817570664605
16000 1523.9343413163726
17000 1148.0990990024193
18000 1018.6692567436354
19000 432.21844616484947
20000 307.320773760515
21000 243.95061645241432
22000 193.0885642822421
23000 143.54930868149248
24000 131.16033813580268
25000 79.31019196677484
26000 56.41527672975391
27000 42.569477470142026
28000 28.960871158374026
29000 22.359288135073054
30000 15.851153572348196
31000 9.99280481686279
32000 7.561188843108019
33000 5.586916758350015
34000 4.030881235134854
35000 2.5438367150876546
36000 1.715357696374226
37000 0.842035828247383
38000 0.15540545312439263
39000 -0.46780254300093393
40000 -0.9843197810554537
41000 -1.351365265633117
42000 -1.7782887145314485
43000 -2.2010202370509178
44000 -2.6003526836308337
45000 -2.815193717396787
46000 -3.1106768526485298
47000 -3.2973344861670735
48000 -3.4851838310892393
49000 -3.6548581582095796
50000 -3.8462399400120413
51000 -4.001290111373732
52000 -4.149679157650235
53000 -4.341396762802822
54000 -4.388150278540126
55000 -4.474576356833398
56000 -4.609580811789217
57000 -4.711077832567919
58000 -4.811431662532354
59000 -4.885591210829891
60000 -4.980341329458163
61000 -5.067004867377022
62000 -5.091605641516724
63000 -5.115343633775443
64000 -5.17546466498431
65000 -5.286969415949403
66000 -5.33117725560636
67000 -5.340682075522774
68000 -5.403631982314076
69000 -5.387461460691094
70000 -5.397869576178325
71000 -5.391344392827302
72000 -5.416618513267091
73000 -5.375645092729433
74000 -5.438338890811183
75000 -5.4954294211218695
76000 -5.517365373879672
77000 -5.496635134486286
78000 -5.53369397607021
79000 -5.546247971033022
80000 -5.574617088389869
81000 -5.5986317353968325
82000 -5.59126655695536
